"Time","CPUPercent","UsedMemoryMB","FreeMemoryMB","Docker"
"2026-07-13T09:44:19.2008723-07:00","14.46","10195","5952","eqi12-jellyfin|0.02%|145.6MiB / 7.638GiB; eqi12-docker-test-database-1|0.03%|39.21MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.555MiB / 7.638GiB; eqi12-docker-test-cache-1|0.47%|126.8MiB / 7.638GiB"
"2026-07-13T09:44:28.1769359-07:00","20.92","10161","5986","eqi12-jellyfin|0.01%|145.2MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|38.76MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.402MiB / 7.638GiB; eqi12-docker-test-cache-1|0.46%|127.2MiB / 7.638GiB"
"2026-07-13T09:44:37.1767745-07:00","23.18","10174","5973","eqi12-jellyfin|0.02%|145.5MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|38.82MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.395MiB / 7.638GiB; eqi12-docker-test-cache-1|0.41%|126.6MiB / 7.638GiB"
"2026-07-13T09:44:46.1486301-07:00","8.38","10265","5882","eqi12-jellyfin|0.01%|145.6MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.25MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.617MiB / 7.638GiB; eqi12-docker-test-cache-1|0.40%|126.8MiB / 7.638GiB"
"2026-07-13T09:44:55.3814711-07:00","15.68","10193","5954","eqi12-jellyfin|0.03%|145.3MiB / 7.638GiB; eqi12-docker-test-database-1|0.01%|39.33MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.324MiB / 7.638GiB; eqi12-docker-test-cache-1|0.41%|127.2MiB / 7.638GiB"
"2026-07-13T09:45:04.6128340-07:00","29.49","10187","5960","eqi12-jellyfin|0.01%|145.9MiB / 7.638GiB; eqi12-docker-test-database-1|0.01%|39.13MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.363MiB / 7.638GiB; eqi12-docker-test-cache-1|0.26%|127.4MiB / 7.638GiB"
"2026-07-13T09:45:13.8038555-07:00","14.43","10262","5885","eqi12-jellyfin|3.58%|146.3MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.27MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.297MiB / 7.638GiB; eqi12-docker-test-cache-1|2.47%|127.2MiB / 7.638GiB"
"2026-07-13T09:45:22.9775951-07:00","24.82","10162","5985","eqi12-jellyfin|0.02%|145.7MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.34MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.27MiB / 7.638GiB; eqi12-docker-test-cache-1|2.14%|127.3MiB / 7.638GiB"
"2026-07-13T09:45:32.2018804-07:00","19.11","10161","5986","eqi12-jellyfin|0.00%|145.5MiB / 7.638GiB; eqi12-docker-test-database-1|2.78%|39.48MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|7.996MiB / 7.638GiB; eqi12-docker-test-cache-1|0.39%|127.3MiB / 7.638GiB"
"2026-07-13T09:45:41.4475880-07:00","34.9","10202","5945","eqi12-jellyfin|0.02%|145.5MiB / 7.638GiB; eqi12-docker-test-database-1|2.31%|39.68MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.16MiB / 7.638GiB; eqi12-docker-test-cache-1|0.50%|127.2MiB / 7.638GiB"
"2026-07-13T09:45:50.2943241-07:00","16.75","10188","5959","eqi12-jellyfin|0.02%|145.6MiB / 7.638GiB; eqi12-docker-test-database-1|0.03%|39.59MiB / 7.638GiB; eqi12-docker-test-web-1|1.61%|8.371MiB / 7.638GiB; eqi12-docker-test-cache-1|0.49%|127.1MiB / 7.638GiB"
"2026-07-13T09:45:59.2262993-07:00","27.22","10274","5873","eqi12-jellyfin|3.35%|146.3MiB / 7.638GiB; eqi12-docker-test-database-1|0.01%|39.37MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.359MiB / 7.638GiB; eqi12-docker-test-cache-1|0.26%|127.1MiB / 7.638GiB"
"2026-07-13T09:46:08.2366509-07:00","18.47","10228","5919","eqi12-jellyfin|0.02%|145.9MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.71MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.566MiB / 7.638GiB; eqi12-docker-test-cache-1|0.34%|127MiB / 7.638GiB"
"2026-07-13T09:46:17.2518135-07:00","31","10225","5922","eqi12-jellyfin|0.02%|145.9MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.64MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.273MiB / 7.638GiB; eqi12-docker-test-cache-1|0.38%|127.2MiB / 7.638GiB"
"2026-07-13T09:46:26.2573091-07:00","30.1","10262","5885","eqi12-jellyfin|0.02%|145.9MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.47MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.23MiB / 7.638GiB; eqi12-docker-test-cache-1|0.28%|127.1MiB / 7.638GiB"
"2026-07-13T09:46:35.4354859-07:00","26.9","10269","5878","eqi12-jellyfin|0.01%|145.8MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.49MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.457MiB / 7.638GiB; eqi12-docker-test-cache-1|0.27%|127.3MiB / 7.638GiB"
"2026-07-13T09:46:44.6428020-07:00","9.54","10258","5889","eqi12-jellyfin|5.23%|146.2MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|38.84MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|7.941MiB / 7.638GiB; eqi12-docker-test-cache-1|2.40%|127.4MiB / 7.638GiB"
"2026-07-13T09:46:53.8642648-07:00","17.6","10267","5880","eqi12-jellyfin|0.01%|146MiB / 7.638GiB; eqi12-docker-test-database-1|0.03%|39.43MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.172MiB / 7.638GiB; eqi12-docker-test-cache-1|0.31%|127.1MiB / 7.638GiB"
"2026-07-13T09:47:03.0807260-07:00","13.9","10277","5870","eqi12-jellyfin|0.00%|145.5MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.48MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.133MiB / 7.638GiB; eqi12-docker-test-cache-1|2.55%|127.3MiB / 7.638GiB"
"2026-07-13T09:47:12.2945937-07:00","20.7","10286","5861","eqi12-jellyfin|0.02%|145.5MiB / 7.638GiB; eqi12-docker-test-database-1|2.74%|39.33MiB / 7.638GiB; eqi12-docker-test-web-1|1.89%|8.465MiB / 7.638GiB; eqi12-docker-test-cache-1|0.41%|127.2MiB / 7.638GiB"
"2026-07-13T09:47:21.5075166-07:00","29.56","10301","5846","eqi12-jellyfin|0.01%|145.8MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.05MiB / 7.638GiB; eqi12-docker-test-web-1|1.70%|8.66MiB / 7.638GiB; eqi12-docker-test-cache-1|0.20%|126.9MiB / 7.638GiB"
"2026-07-13T09:47:30.3337543-07:00","25.25","10223","5924","eqi12-jellyfin|2.96%|146.1MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.15MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.551MiB / 7.638GiB; eqi12-docker-test-cache-1|0.42%|126.8MiB / 7.638GiB"
"2026-07-13T09:47:39.3636936-07:00","17.82","10220","5927","eqi12-jellyfin|0.02%|145.9MiB / 7.638GiB; eqi12-docker-test-database-1|0.01%|39.44MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.805MiB / 7.638GiB; eqi12-docker-test-cache-1|0.38%|127MiB / 7.638GiB"
"2026-07-13T09:47:48.3514190-07:00","23.86","10215","5932","eqi12-jellyfin|0.01%|146.2MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.39MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.762MiB / 7.638GiB; eqi12-docker-test-cache-1|0.39%|126.9MiB / 7.638GiB"
"2026-07-13T09:47:57.3285149-07:00","25.23","10294","5853","eqi12-jellyfin|0.01%|146.1MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.47MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.492MiB / 7.638GiB; eqi12-docker-test-cache-1|0.20%|127.1MiB / 7.638GiB"
"2026-07-13T09:48:06.3416214-07:00","36.25","10277","5870","eqi12-jellyfin|0.02%|146.2MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.29MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.258MiB / 7.638GiB; eqi12-docker-test-cache-1|0.42%|126.8MiB / 7.638GiB"
"2026-07-13T09:48:15.5793487-07:00","16.35","10186","5961","eqi12-jellyfin|3.41%|146.3MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.21MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.711MiB / 7.638GiB; eqi12-docker-test-cache-1|0.39%|126.8MiB / 7.638GiB"
"2026-07-13T09:48:24.8049444-07:00","27.48","10156","5991","eqi12-jellyfin|0.01%|146MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.28MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.664MiB / 7.638GiB; eqi12-docker-test-cache-1|0.46%|127MiB / 7.638GiB"
"2026-07-13T09:48:34.0051556-07:00","11.66","10204","5943","eqi12-jellyfin|0.01%|146.2MiB / 7.638GiB; eqi12-docker-test-database-1|0.03%|39.09MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.621MiB / 7.638GiB; eqi12-docker-test-cache-1|2.55%|127MiB / 7.638GiB"
"2026-07-13T09:48:43.2104559-07:00","19.12","10259","5888","eqi12-jellyfin|0.02%|146.2MiB / 7.638GiB; eqi12-docker-test-database-1|3.71%|39.42MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.887MiB / 7.638GiB; eqi12-docker-test-cache-1|0.30%|126.9MiB / 7.638GiB"
"2026-07-13T09:48:52.4167679-07:00","32.11","10227","5920","eqi12-jellyfin|0.02%|146MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.29MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.602MiB / 7.638GiB; eqi12-docker-test-cache-1|0.41%|127.3MiB / 7.638GiB"
"2026-07-13T09:49:01.6056492-07:00","33.82","10224","5923","eqi12-jellyfin|0.04%|145.8MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.32MiB / 7.638GiB; eqi12-docker-test-web-1|1.67%|8.531MiB / 7.638GiB; eqi12-docker-test-cache-1|0.45%|127.2MiB / 7.638GiB"
"2026-07-13T09:49:10.4296926-07:00","25.12","10322","5825","eqi12-jellyfin|0.01%|145.8MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.46MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.48MiB / 7.638GiB; eqi12-docker-test-cache-1|0.25%|126.9MiB / 7.638GiB"
"2026-07-13T09:49:19.4327370-07:00","30.92","10346","5801","eqi12-jellyfin|0.01%|146.4MiB / 7.638GiB; eqi12-docker-test-database-1|0.01%|39.37MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.156MiB / 7.638GiB; eqi12-docker-test-cache-1|0.30%|127.1MiB / 7.638GiB"
"2026-07-13T09:49:28.4906330-07:00","22.82","10281","5866","eqi12-jellyfin|0.02%|146.1MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.41MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.391MiB / 7.638GiB; eqi12-docker-test-cache-1|0.49%|127.1MiB / 7.638GiB"
"2026-07-13T09:49:37.4435530-07:00","29.19","10333","5814","eqi12-jellyfin|0.01%|145.8MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|38.99MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.359MiB / 7.638GiB; eqi12-docker-test-cache-1|0.39%|126.9MiB / 7.638GiB"
"2026-07-13T09:49:46.4417778-07:00","11.28","10297","5850","eqi12-jellyfin|0.62%|145.7MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.43MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.844MiB / 7.638GiB; eqi12-docker-test-cache-1|0.43%|126.8MiB / 7.638GiB"
"2026-07-13T09:49:55.6543097-07:00","13.38","10273","5874","eqi12-jellyfin|0.01%|145.7MiB / 7.638GiB; eqi12-docker-test-database-1|0.01%|39.26MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.57MiB / 7.638GiB; eqi12-docker-test-cache-1|2.38%|126.8MiB / 7.638GiB"
"2026-07-13T09:50:04.8095612-07:00","22.12","10345","5802","eqi12-jellyfin|0.01%|145.8MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.5MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.77MiB / 7.638GiB; eqi12-docker-test-cache-1|0.24%|126.8MiB / 7.638GiB"
"2026-07-13T09:50:14.0286237-07:00","17.52","10277","5870","eqi12-jellyfin|0.02%|145.8MiB / 7.638GiB; eqi12-docker-test-database-1|2.32%|39.46MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.531MiB / 7.638GiB; eqi12-docker-test-cache-1|0.46%|126.7MiB / 7.638GiB"
"2026-07-13T09:50:23.2533002-07:00","10.46","10222","5925","eqi12-jellyfin|0.02%|145.7MiB / 7.638GiB; eqi12-docker-test-database-1|2.09%|39.91MiB / 7.638GiB; eqi12-docker-test-web-1|1.91%|8.891MiB / 7.638GiB; eqi12-docker-test-cache-1|0.43%|127MiB / 7.638GiB"
"2026-07-13T09:50:32.4699452-07:00","26.46","10260","5887","eqi12-jellyfin|0.01%|146.1MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.82MiB / 7.638GiB; eqi12-docker-test-web-1|1.93%|8.789MiB / 7.638GiB; eqi12-docker-test-cache-1|0.28%|127.2MiB / 7.638GiB"
"2026-07-13T09:50:41.6987097-07:00","20.72","10273","5874","eqi12-jellyfin|0.01%|145.7MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.32MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.777MiB / 7.638GiB; eqi12-docker-test-cache-1|0.26%|127MiB / 7.638GiB"
"2026-07-13T09:50:50.5443174-07:00","17.04","10370","5777","eqi12-jellyfin|0.02%|146.1MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.37MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.395MiB / 7.638GiB; eqi12-docker-test-cache-1|0.44%|127.1MiB / 7.638GiB"
