"Round","Bytes","WriteSeconds","WriteMiBps","ReadSeconds","ReadMiBps","SourceSHA256","ReturnSHA256","HashMatch"
"1","4294967296","104","39.38","95","43.12","25030DF25FBD998E590959F8A44832BDCE833E3C9E3746DAF5010435C3DACB12","25030DF25FBD998E590959F8A44832BDCE833E3C9E3746DAF5010435C3DACB12","True"
"2","4294967296","104.08","39.35","100.03","40.95","25030DF25FBD998E590959F8A44832BDCE833E3C9E3746DAF5010435C3DACB12","25030DF25FBD998E590959F8A44832BDCE833E3C9E3746DAF5010435C3DACB12","True"
"3","4294967296","103.04","39.75","99.8","41.04","25030DF25FBD998E590959F8A44832BDCE833E3C9E3746DAF5010435C3DACB12","25030DF25FBD998E590959F8A44832BDCE833E3C9E3746DAF5010435C3DACB12","True"
